"Cluster_1","Cluster_2","Cluster_3","MeanDecreaseAccuracy","MeanDecreaseGini","Feature"
14.8482759746328,12.8098796351181,11.2318434891994,16.797416893677,3.23825957144177,"PILRA"
14.1369999547268,13.515724988339,9.37457523432673,16.5886897904936,3.02410273657789,"CLEC7A"
10.5201377844416,9.85863154528877,8.30328671548645,13.2910300196016,2.1825694850864,"CSF1R"
10.5865015508616,7.12110885175447,7.68599234282375,10.9085427505831,1.77907787026563,"LILRB2"
6.77619555121746,4.02868232871095,7.59593905641034,9.20852350892805,1.30508660460631,"C3AR1"
7.14450548990784,4.65326713872859,3.873819875264,7.5205606157077,1.09756373851499,"C5AR1"
6.95321138303549,3.45316045467399,6.22363716355721,7.63899839119973,1.07962992830815,"TLR4"
8.25562775423845,6.87885709748363,-0.654793998744466,8.63237465339967,0.970470160562058,"CD300E"
6.55374845085561,4.30084221967765,6.37704257824809,8.34241123904004,0.882163578599414,"cDC2"
7.66503868362556,4.8231642814879,5.06821114213234,8.5836680482676,0.814323864724029,"Inflammatory_Macrophage"
-0.735200620596314,1.52037561178621,3.46223308983221,2.83014746343917,0.392990753782444,"P2RX7"
4.75560750128318,4.88172790372755,1.34284989575028,5.90767197357377,0.277616439924697,"B_Cell"
0.952877611054355,1.00491658495177,-3.1389311872136,-0.744786998199585,0.218173424541014,"CD8_TRM"
-1.29217303547901,0.137054577117786,-1.41562990079754,-0.65179207255998,0.17605975473316,"CD4_T"
2.37768279738358,1.42191972781087,-0.242542758751794,2.69360875548197,0.172848389684629,"NK"
0.289411167748636,-0.43853948143621,-0.784706025717931,-0.502184048678421,0.163636566489851,"Stromal_1"
0.462382092284853,-0.121178680817806,-1.34284989575028,0.550442743980782,0.146050386721947,"SIGLEC1"
-1.97319579140429,0.838378423927323,2.97236412444305,1.59418994729545,0.117769835621894,"CD8_Cytotoxic"
2.7306232728641,1.77748308403097,0,2.72516694301957,0.103032158089923,"Treg"
0.245776999063078,-0.722260828705499,-1.73465474410435,-2.07064758945202,0.0972294579165984,"Cycling"
2.12952558558036,0.806808706517016,1.00050037531277,2.5545117851379,0.0801736105884713,"Stromal_2"
0,0,0,0,0.00686580086580087,"LAMP3_DC"
